File,Temperatura,Energia Media
rew_T1.0_N16.txt,1.0,-1.9964732421875
rew_T1.4_N16.txt,1.4,-1.9708263671875
rew_T1.5_N16.txt,1.5,-1.9405849609375
rew_T1.7_N16.txt,1.7,-1.887241015625
rew_T1.9_N16.txt,1.9,-1.8193837890625
rew_T2.1_N16.txt,2.1,-1.6542412109375
rew_T2.4_N16.txt,2.4,-1.2001171875
rew_T2.6_N16.txt,2.6,-0.9951537109375
rew_T2.7_N16.txt,2.7,-0.9680287109375
rew_T2.9_N16.txt,2.9,-0.856524609375
rew_T3.1_N16.txt,3.1,-0.809635546875
rew_T3.3_N16.txt,3.3,-0.7061533203125
rew_T3.5_N16.txt,3.5,-0.6573322265625
rew_T3.7_N16.txt,3.7,-0.614835546875
rew_T3.9_N16.txt,3.9,-0.5760564453125
